composition,S,S^2,sigma,kappa,sigma/kappa,ZT
Ca0.98Bi0.02Mn0.98Nb0.02O3.0,-100,10000,49.2,2.513,19.57819339,0.00588
Ca0.96Bi0.04Mn0.96Nb0.04O3.0,-91,8281,113,2.268,49.82363316,0.01
Ca1.0Mn0.98Nb0.02O3.0,-180,32400,50,2.5,20,0.02
Ca1.0Gd0.96Mn0.04O3.0,-162,26244,67.3,1.787,37.66088416,0.03
Ca1.0Gd0.94Mn0.06O3.0,-104,10816,68.8,2.85,24.14035088,0.00787
Ca0.9Tb0.1Mn1.0O3.0,-75,5625,174,1.484,117.2506739,0.02
Ca0.7Tb0.3Mn1.0O3.0,-46,2116,165,2.17,76.03686636,0.00488
Ca0.9Ho0.1Mn1.0O3.0,-72,5184,149,1.637,91.02015883,0.01
Ca0.7Ho0.3Mn1.0O3.0,-44,1936,195,2.144,90.95149254,0.00522
Ca0.9Y0.1Mn1.0O3.0,-71,5041,229,1.489,153.7944929,0.02
Ca0.7Y0.3Mn1.0O3.0,-42,1764,131,1.793,73.06190742,0.0038
Ca1.0Mn1.0O3.0,-651,423801,3.305,3.562,0.927849523,0.01
Ca1.0Yb0.05Mn0.95O3.0,-109,11881,109,1.49,73.15436242,0.03
Ca1.0Yb0.1Mn0.9O3.0,-53,2809,256,1.725,148.4057971,0.01
Ca1.0Yb0.15Mn0.85O3.0,-38,1444,297,1.645,180.5471125,0.00793
Sm1.7Ca0.3Mn1.0O3.0,69,4761,4.018,1.1,3.652727273,0.000528
Sm0.5Ca0.5Mn1.0O3.0,-33,1089,105,1.9,55.26315789,0.00175
Ca1.0Mn1.0O3.0,-358,128164,35,16.23,2.156500308,0.00828
Ca0.9Bi0.1Mn1.0O3.0,-83,6889,270,3.591,75.18796992,0.02
Ca1.0Mn1.0O3.0,-477,227529,0.143,2.99,0.047826087,0.000327
In2.0O3.0,-156,24336,74,9.67,7.652533609,0.00559
In1.998Ge0.002O3.0,-89,7921,475,9.156,51.87854958,0.01
In1.994Ge0.006O3.0,-50,2500,1200,9.715,123.5203294,0.0094
In1.985Ge0.015O3.0,-47,2209,1380,9.419,146.5123686,0.00963
In1.94Ge0.06O3.0,-51,2601,1120,8.868,126.2967975,0.00974
In1.9Ge0.1O3.0,-53,2809,757,6.847,110.5593691,0.00941
In1.8Ge0.2O3.0,-52,2704,348,3.238,107.4737492,0.00883
Sr2.0Ti0.8Nb0.2O4.0,-54,2916,210,4.37,48.05491991,0.00414
Sr3.0Ti1.6Nb0.4O7.0,-42,1764,538,4.96,108.4677419,0.00585
Sr1.0Ti0.8Nb0.2O3.0,-52,2704,689,10.42,66.12284069,0.00539
Sr0.9La0.1Ti1.0O3.0,-98,9604,383,5.88,65.13605442,0.02
Sr1.0Ti0.8Nb0.2O3.0,-64,4096,217,7.96,27.26130653,0.0033
Zn1.0O1.0,-301,90601,0.059,48.7,0.001211499,0.000215
Zn0.995Al0.005O1.0,-154,23716,155,44.495,3.483537476,0.00284
Zn0.99Al0.01O1.0,-179,32041,312,44.495,7.012023823,0.00783
Zn0.98Al0.02O1.0,-138,19044,779,40.29,19.33482254,0.01
Zn0.95Al0.05O1.0,-175,30625,690,34.5,20,0.02
Sr1.0Nb0.15Ti0.85O3.0,-40,1600,0.199,5.88,0.033843537,0.00000159
Sr0.9Y0.1Ti1.0O3.0,-92,8464,1140,7,162.8571429,0.04
Ba0.3Sr0.6La0.1Ti1.0O3.0,-82,6724,2030,4.07,498.7714988,0.1
Zn0.9975Al0.0025O1.0,-210,44100,3.37,2.78,1.212230216,0.0016
Bi2.0Sr2.0Co2.0O8.0,109,11881,471,2.185,215.5606407,0.08
Ca2.0Co2.0O5.0,135,18225,681,2.3,296.0869565,0.16
La1.0Co1.0O3.0,-390,152100,0.13,1.879,0.069185737,0.000315
La0.99Sr0.01Co1.0O3.0,395,156025,6.368,1.807,3.524073049,0.02
La0.98Sr0.02Co1.0O3.0,330,108900,14.5,1.8,8.055555556,0.03
La0.95Sr0.05Co1.0O3.0,215,46225,62.7,1.8,34.83333333,0.05
La0.8Sr0.2Co1.0O3.0,21,441,2140,3.696,579.004329,0.00789
Na1.0Co2.0O4.0,82,6724,3390,19.08,177.672956,0.04
Na1.0Co2.0O4.0,104,10816,475,1.904,249.4747899,0.08
