Metal/Alloy Name,Corrosion Rate (mpy),Corrosion Density Current (µA/cm²),Polarization Resistance (ohms),Media,Corrosion Resistance
"Composite 1 (Al-88%, Mg-29%)",0.295,9.44,2716.87,Sulfide Solution,Fair
"Composite 2 (Al-64%, Mg-43%)",0.192,9.45,1340.52,Alkaline Solution,Fair
"Metal 3 (Fe-77%, C-29%)",0.471,8.69,771.24,Acidic Solution,Poor
"Composite 4 (Al-70%, Mg-39%)",0.487,6.4,9405.91,Seawater,Poor
"Alloy 5 (Cu-78%, Zn-23%)",0.149,8.03,4172.22,Atmospheric,Excellent
"Metal 6 (Fe-80%, C-11%)",0.16,6.8,5815.81,Oil & Gas Environment,Fair
"Composite 7 (Al-73%, Mg-36%)",0.248,5.78,9192.57,Sulfide Solution,Fair
"Composite 8 (Al-89%, Mg-24%)",0.23,1.37,836.66,Acidic Solution,Fair
"Metal 9 (Fe-72%, C-22%)",0.497,8.13,8767.85,Acidic Solution,Poor
"Alloy 10 (Cu-61%, Zn-24%)",0.096,8.22,5520.36,Alkaline Solution,Excellent
"Composite 11 (Al-93%, Mg-30%)",0.019,6.3,1656.69,Alkaline Solution,Excellent
"Metal 12 (Fe-75%, C-2%)",0.252,8.22,4118.44,Atmospheric,Fair
"Composite 13 (Al-70%, Mg-33%)",0.098,6.55,7778.25,Oil & Gas Environment,Excellent
"Composite 14 (Al-61%, Mg-22%)",0.19,2.15,4808.9,Atmospheric,Fair
"Alloy 15 (Cu-84%, Zn-27%)",0.375,2.81,9853.01,Seawater,Poor
"Composite 16 (Al-91%, Mg-28%)",0.363,2.22,3773.62,Seawater,Poor
"Composite 17 (Al-65%, Mg-15%)",0.161,3.83,7498.29,Atmospheric,Fair
"Metal 18 (Fe-84%, C-19%)",0.276,0.49,3935.96,Oil & Gas Environment,Fair
"Composite 19 (Al-93%, Mg-3%)",0.259,6.22,8293.35,Atmospheric,Fair
"Alloy 20 (Cu-96%, Zn-7%)",0.322,3.43,5695.12,Oil & Gas Environment,Poor
"Metal 21 (Fe-90%, C-9%)",0.133,6.59,644.48,Oil & Gas Environment,Excellent
"Composite 22 (Al-88%, Mg-18%)",0.299,3.92,377.85,Sulfide Solution,Fair
"Composite 23 (Al-53%, Mg-25%)",0.49,6.85,1347.18,Oil & Gas Environment,Poor
"Metal 24 (Fe-97%, C-14%)",0.249,3.47,146.58,Alkaline Solution,Fair
"Alloy 25 (Cu-68%, Zn-26%)",0.454,2.68,762.84,Oil & Gas Environment,Poor
"Composite 26 (Al-51%, Mg-20%)",0.223,5.01,6920.23,Oil & Gas Environment,Fair
"Metal 27 (Fe-97%, C-15%)",0.182,6.96,5348.12,Oil & Gas Environment,Fair
"Composite 28 (Al-56%, Mg-44%)",0.326,3.55,7501.61,Seawater,Poor
"Composite 29 (Al-57%, Mg-47%)",0.338,9.37,9132.53,Alkaline Solution,Poor
"Alloy 30 (Cu-94%, Zn-14%)",0.433,0.49,5855.64,Alkaline Solution,Poor
"Composite 31 (Al-66%, Mg-36%)",0.123,4.24,7263.95,Atmospheric,Excellent
"Composite 32 (Al-89%, Mg-4%)",0.255,9.68,7573.24,Sulfide Solution,Fair
"Metal 33 (Fe-71%, C-6%)",0.29,5.52,3784.73,Oil & Gas Environment,Fair
"Composite 34 (Al-91%, Mg-4%)",0.387,4.29,2418.44,Acidic Solution,Poor
"Alloy 35 (Cu-88%, Zn-18%)",0.031,5.73,2058.4,Sulfide Solution,Excellent
"Metal 36 (Fe-95%, C-12%)",0.497,5.8,2521.91,Sulfide Solution,Poor
"Composite 37 (Al-83%, Mg-10%)",0.24,7.34,2754.57,Alkaline Solution,Fair
"Composite 38 (Al-85%, Mg-14%)",0.147,1.36,2080.2,Sulfide Solution,Excellent
"Metal 39 (Fe-85%, C-15%)",0.443,2.58,8783.42,Oil & Gas Environment,Poor
"Alloy 40 (Cu-67%, Zn-14%)",0.376,5.85,7572.42,Oil & Gas Environment,Poor
"Composite 41 (Al-72%, Mg-40%)",0.477,8.68,478.5,Seawater,Poor
"Metal 42 (Fe-90%, C-16%)",0.172,5.66,2694.04,Oil & Gas Environment,Fair
"Composite 43 (Al-94%, Mg-18%)",0.281,2.46,231.63,Oil & Gas Environment,Fair
"Composite 44 (Al-96%, Mg-24%)",0.29,6.83,4986.67,Alkaline Solution,Fair
"Alloy 45 (Cu-85%, Zn-25%)",0.49,7.43,4767.34,Oil & Gas Environment,Poor
"Composite 46 (Al-94%, Mg-41%)",0.047,2.46,8315.4,Seawater,Excellent
"Composite 47 (Al-78%, Mg-15%)",0.16,3.84,3084.69,Acidic Solution,Fair
"Metal 48 (Fe-82%, C-1%)",0.104,5.39,8165.69,Alkaline Solution,Excellent
"Composite 49 (Al-74%, Mg-7%)",0.142,5.02,9680.06,Acidic Solution,Excellent
"Alloy 50 (Cu-68%, Zn-24%)",0.248,3.96,893.2,Alkaline Solution,Fair
"Metal 51 (Fe-70%, C-12%)",0.193,3.05,7920.26,Atmospheric,Fair
"Composite 52 (Al-57%, Mg-24%)",0.203,1.09,5903.66,Sulfide Solution,Fair
"Composite 53 (Al-60%, Mg-17%)",0.424,0.63,4805.66,Atmospheric,Poor
"Metal 54 (Fe-77%, C-3%)",0.466,9.59,4211.15,Oil & Gas Environment,Poor
"Alloy 55 (Cu-94%, Zn-33%)",0.045,8.49,7848.84,Acidic Solution,Excellent
"Composite 56 (Al-54%, Mg-42%)",0.112,3.61,6397.22,Oil & Gas Environment,Excellent
"Metal 57 (Fe-76%, C-26%)",0.339,9.57,8052.4,Sulfide Solution,Poor
"Composite 58 (Al-90%, Mg-28%)",0.186,6.8,9032.48,Alkaline Solution,Fair
"Composite 59 (Al-56%, Mg-9%)",0.135,4.88,6176.46,Sulfide Solution,Excellent
